	Sample	Chao1	Shannon	Simpson	Otus
0	M352	144.0	3.63	0.94	144
1	M420	136.0	3.51	0.93	136
2	M485	77.0	3.29	0.92	77
3	M353	115.0	2.53	0.81	115
4	M474	96.0	2.86	0.87	96
5	M435	78.0	3.18	0.92	78
6	M480	68.0	2.98	0.9	68
7	M318	61.0	2.41	0.8	61
8	M487	47.0	2.85	0.9	47
9	M396	29.0	2.39	0.86	29
10	M516	29.0	2.53	0.89	29
11	M449	32.0	2.55	0.84	32
12	M374	33.0	2.6	0.86	33
13	M529	26.0	2.58	0.87	26
14	M444	35.0	2.61	0.89	35
15	M373	63.0	3.28	0.92	63
16	M357	75.0	3.48	0.94	75
17	M517	22.0	2.35	0.86	22
18	M511	20.0	1.9	0.77	20
19	M509	18.0	1.84	0.75	18
20	M476	13.0	1.54	0.7	13
21	M494	14.0	1.92	0.8	14
22	M479	8.0	0.79	0.5	8
23	M433	25.0	1.97	0.77	25
24	M488	14.0	1.18	0.51	14
25	M498	15.0	1.68	0.72	15
26	M501	14.0	1.52	0.69	14
27	M414	11.0	0.89	0.52	11
28	M386	12.0	1.68	0.71	12
29	M507	12.0	2.26	0.88	12
30	M390	10.0	1.99	0.83	10
31	M379	10.0	0.36	0.14	10
32	M484	11.0	1.85	0.77	11
33	M442	15.0	1.86	0.72	15
34	M524	13.0	2.08	0.84	13
35	M465	8.0	1.65	0.77	8
36	M375	8.0	1.83	0.81	8
37	M388	8.0	1.74	0.79	8
38	M367	13.0	2.03	0.83	13
39	M481	9.0	1.53	0.68	9
40	M417	20.0	2.42	0.88	20
41	M359	10.0	1.59	0.68	10
42	M413	9.0	1.27	0.55	9
43	M436	5.0	1.28	0.65	5
44	M473	6.0	1.75	0.82	6
45	M398	6.0	1.47	0.73	6
46	M366	6.0	1.27	0.64	6
47	M427	5.0	1.21	0.67	5
48	M430	6.0	1.44	0.74	6
49	M526	6.0	0.1	0.03	6
50	M471	1.0	-0.0	0.0	1
51	M399	4.0	0.8	0.42	4
52	M372	2.0	0.28	0.15	2
53	M530	5.0	0.9	0.5	5
54	M446	8.0	1.11	0.52	8
55	M477	10.0	1.16	0.57	10
56	M384	11.0	1.48	0.63	11
57	M443	6.0	1.07	0.56	6
58	M475	4.0	0.64	0.32	4
59	M450	4.0	0.54	0.25	4
60	M441	6.0	0.85	0.42	6
61	M463	6.0	0.33	0.14	6
62	M407	1.0	-0.0	0.0	1
63	M393	2.0	0.34	0.19	2
64	M513	3.0	0.02	0.0	3
65	M499	4.0	1.07	0.63	4
66	M458	10.0	0.61	0.28	10
67	M431	17.0	0.24	0.09	17
68	M452	8.0	1.43	0.7	8
69	M448	7.0	1.48	0.72	7
70	M428	10.0	1.66	0.7	10
71	M490	4.0	0.51	0.28	4
